experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,split,num_samples,accuracy,macro_f1,macro_precision,macro_recall
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed2,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed2,val,230,0.6086956521739131,0.467251528141621,0.5964200191570881,0.5387302592877505
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed2,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed2,test,233,0.5965665236051502,0.47714449776465284,0.402552053209948,0.5885924912600698
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed2,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed2,external_test,610,0.27377049180327867,0.1909963743473818,0.21527707766239876,0.24229105250365016
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed0,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed0,val,221,0.751131221719457,0.6308273411502431,0.6748141584207158,0.6478279836524774
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed0,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed0,test,204,0.8333333333333334,0.8036276588908168,0.8973824786324786,0.7848646723646725
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed0,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed0,external_test,610,0.3819672131147541,0.3191109043832436,0.573852321568336,0.38603122407061896
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed1,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed1,val,185,0.7081081081081081,0.65099360624393,0.8292237442922374,0.6457561728395061
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed1,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed1,test,242,0.7520661157024794,0.732578263606238,0.8190201884981002,0.7347397682219111
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed1,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed1,external_test,610,0.4311475409836066,0.4218171565965325,0.44457630351570665,0.4286002323083702
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed2,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed2,val,230,0.9173913043478261,0.7712247269057682,0.7696529080675423,0.7763845523427405
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed2,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed2,test,233,0.8454935622317596,0.7332251082251083,0.731638105767459,0.7570568889994336
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed2,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed2,external_test,610,0.49836065573770494,0.41918230816502716,0.371867423684244,0.5011327266884144
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed0,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed0,val,221,0.832579185520362,0.6775505786959736,0.6920608383469621,0.6850128576020572
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed0,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed0,test,204,0.7745098039215687,0.7082260804991544,0.7874144148089753,0.801077566400147
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed0,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed0,external_test,610,0.39344262295081966,0.3098458991798083,0.4501400537720792,0.3462556408304427
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed1,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed1,val,185,0.8486486486486486,0.7416267942583733,0.9050746946973361,0.7302777777777778
