method,model,ratio_name,ratio_value,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,external_test,3,笛子,0.11228070175438597,0.19447588014808445,0.0699912510936133,0.12122840297944897,0.28368794326241137,0.4913619312252134
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,external_test,4,唢呐,0.23376588912772336,0.2553844510596041,0.23392946922358684,0.31204653589616554,0.37777777777777777,0.3492496365667047
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,external_test,5,笙,0.22194012194012191,0.22436233138963224,0.1646856200935897,0.15076293597168441,0.3891992551210428,0.4813014789892793
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,test,0,二胡,0.695969937270683,0.14465940297782837,0.7027915632754341,0.11636472061415096,0.7037198488811391,0.21909223447294013
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,test,1,琵琶,0.0,0.0,0.0,0.0,0.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,test,2,中阮,0.8853174603174603,0.15329124188123255,0.815439971103887,0.23131877663225156,1.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,test,3,笛子,0.20532212885154064,0.30610197736161143,0.4633333333333334,0.5040171954738581,0.3351010101010101,0.5543758710177574
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,test,4,唢呐,0.6020148669796557,0.14725730636577844,0.7236864771748492,0.33657869033307275,0.6577425842131724,0.26505917575721233
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,test,5,笙,0.28725943221044936,0.20100040550465226,0.5399865591397849,0.39941792393597586,0.4210229907904326,0.48917736368121595
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,val,0,二胡,0.797453856658297,0.07822800225206236,0.7849206349206349,0.1938734733230728,0.8550585217251885,0.13285223997265166
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,val,1,琵琶,0.0,0.0,0.0,0.0,0.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,val,2,中阮,0.9642427527305576,0.033137925303047766,0.9322537878787879,0.06092478632296236,1.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,val,3,笛子,0.16291887125220453,0.1530057012445811,0.3929824561403508,0.533252533122212,0.36734693877551017,0.5502640311311331
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,val,4,唢呐,0.7545890179681157,0.09693824979700184,0.7592101385204834,0.24784717066722767,0.8315613925370022,0.18050446097419193
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,val,5,笙,0.3515037593984962,0.3487184082291727,0.3291894077218516,0.28989966110398996,0.4212121212121212,0.4931207195780106
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,external_test,0,二胡,0.17845117845117844,0.3090865077479815,0.20784313725490197,0.35999487373000194,0.15634218289085547,0.2707926041331873
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,external_test,1,琵琶,0.43884860650253305,0.19591965314144338,0.5667589133342558,0.08147734017133247,0.4235294117647059,0.2580201435230743
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,external_test,2,中阮,0.2451939202161161,0.20581178518183368,0.4113788487282463,0.3024003938205521,0.2695035460992908,0.3307010902704755
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,external_test,3,笛子,0.32470925663994965,0.3173736465588165,0.661151466236212,0.3255091352871068,0.24113475177304963,0.2700395938084528
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,external_test,4,唢呐,0.36087631533551834,0.2095846919804895,0.30200589377804565,0.09664530036085715,0.5259259259259259,0.39773018544174227
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,external_test,5,笙,0.5427354882694079,0.12604702989212002,0.46785978542360335,0.22681548026543616,0.750465549348231,0.1164282981924811
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,test,0,二胡,0.9341931216931217,0.039785745421679744,0.9607843137254902,0.06792356108113246,0.9174658529497238,0.09986781918989614
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,test,1,琵琶,0.4312925170068027,0.3764481040806883,0.5,0.5,0.4270833333333333,0.3856980954494504
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,test,2,中阮,0.9573047567650915,0.0189417772851279,0.9185243236967375,0.034542115323754,1.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,test,3,笛子,0.6122387544106398,0.29131798755991717,1.0,0.0,0.4862347969490826,0.3242484974293222
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,test,4,唢呐,0.8205620325997982,0.10295757662855984,0.7581858158080905,0.1825792631101135,0.9123931623931624,0.008877935337561718
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,test,5,笙,0.77569573283859,0.06788248505611028,0.6623197664950455,0.11752204584068432,0.9552110249784668,0.05860185596270132
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,val,0,二胡,0.9450248756218906,0.08263163396070877,0.955108359133127,0.054312089141946844,0.9365079365079364,0.10997147984564301
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,val,1,琵琶,0.5833333333333334,0.5204164998665332,0.6666666666666666,0.5773502691896258,0.5333333333333333,0.5033222956847166
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,val,2,中阮,0.9735947712418301,0.022870961202657435,0.9540094339622641,0.0403536288496903,0.9945355191256832,0.00946475851130535
