source_phase,experiment_id,method,method_short,model,split,true_label,pred_label,count_mean,count_std,row_rate_mean,row_rate_std,seed_count
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笛子,笙,0.6666666666666666,0.5773502691896258,0.011853226138940423,0.0105963349689268,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,唢呐,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,唢呐,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,唢呐,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,唢呐,笛子,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,唢呐,唢呐,45.333333333333336,9.865765724632494,0.9934640522875817,0.011320593513522097,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,唢呐,笙,0.3333333333333333,0.5773502691896258,0.006535947712418301,0.011320593513522074,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笙,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笙,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笙,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笙,笛子,0.0,0.0,0.0,0.0,3
